latitude,longitude,acq_date,fire_occurred,temperature,humidity,wind_speed,precipitation,elevation,vpd
29.9,82.4,2014-06-15,1,5.11,53.96,2.37,0.08,5139.0,0.405
28.2,82.5,2021-04-28,1,29.99,21.38,1.86,0.0,1682.0,3.334
29.0,82.4,2019-01-27,0,-5.05,83.18,1.75,0.75,5131.0,0.071
27.3,89.0,2014-09-29,0,9.53,91.03,1.8,0.72,2543.0,0.107
28.9,80.7,2014-05-04,1,27.78,39.81,1.03,1.98,1272.0,2.246
27.6,83.8,2023-04-19,1,32.64,27.47,3.14,0.0,746.0,3.575
27.3,87.8,2024-03-15,1,7.78,50.45,1.94,0.15,1943.0,0.524
28.4,83.2,2016-11-13,0,6.19,41.9,1.39,0.0,1763.0,0.55
26.9,87.1,2020-06-16,0,24.08,90.13,1.97,4.82,595.0,0.296
29.9,83.5,2015-02-13,0,-19.07,78.66,2.11,0.0,4574.0,0.029
29.2,89.2,2024-05-11,0,7.16,32.13,1.7,0.06,3887.0,0.687
29.5,81.9,2021-04-21,0,4.7,78.85,1.13,13.68,2180.0,0.181
27.4,84.8,2014-04-09,1,25.38,29.36,1.65,0.18,394.0,2.289
27.9,84.8,2016-04-28,1,20.44,19.36,2.01,0.0,1123.0,1.938
28.3,85.0,2017-02-13,0,-5.04,44.39,1.73,0.0,3142.0,0.234
28.9,82.6,2023-04-12,1,8.26,55.03,1.75,0.0,3431.0,0.491
28.7,85.8,2017-05-23,0,0.1,73.58,2.97,0.5,4718.0,0.163
29.2,81.0,2021-02-02,0,12.17,30.65,1.39,0.0,676.0,0.984
27.1,85.5,2024-07-04,0,28.19,84.91,3.12,6.66,132.0,0.577
29.1,84.4,2012-05-22,0,-1.62,62.6,2.9,0.08,4802.0,0.203
28.8,80.4,2025-05-14,1,28.76,38.12,1.52,0.0,208.0,2.445
28.0,86.2,2023-10-20,0,-0.65,60.37,1.59,0.0,3314.0,0.231
28.4,86.0,2024-08-09,0,5.47,82.85,1.27,16.86,4848.0,0.155
27.7,80.2,2023-05-20,0,34.77,21.49,2.91,0.0,150.0,4.359
27.7,82.0,2014-06-17,0,38.4,33.99,1.66,2.73,124.0,4.468
27.1,86.7,2025-05-11,1,25.95,56.3,1.37,13.62,613.0,1.465
27.7,85.7,2023-03-15,1,17.84,46.45,1.84,0.18,990.0,1.094
27.4,83.2,2018-04-22,1,29.51,22.82,2.63,0.01,94.0,3.184
29.4,84.3,2020-09-08,0,6.04,75.21,1.11,0.67,5103.0,0.232
28.2,81.8,2016-04-09,1,31.04,15.27,2.63,0.0,244.0,3.815
26.3,88.6,2022-01-07,0,17.79,77.04,0.91,0.0,68.0,0.468
28.8,81.4,2021-04-18,1,21.16,40.83,1.59,1.3,405.0,1.486
28.6,87.1,2013-12-23,0,-11.68,41.53,4.62,0.0,4277.0,0.146
26.5,87.9,2012-05-31,0,30.84,67.22,2.21,23.16,85.0,1.459
29.6,89.3,2017-04-21,0,5.69,27.03,1.78,0.01,5067.0,0.668
27.8,82.6,2018-04-26,1,27.15,31.04,2.29,0.01,286.0,2.48
27.9,84.9,2016-03-11,1,15.21,35.91,1.68,0.0,824.0,1.108
26.8,80.3,2014-09-01,0,28.93,71.27,5.07,3.41,122.0,1.146
29.2,80.4,2019-05-08,1,29.17,18.42,1.96,0.0,1121.0,3.3
26.7,82.2,2017-02-03,0,16.71,45.4,1.34,0.0,100.0,1.039
29.0,81.0,2024-04-09,1,22.13,18.6,1.48,0.0,1509.0,2.169
27.8,82.6,2021-04-19,1,26.43,23.06,4.06,0.0,286.0,2.653
27.4,88.5,2022-06-17,0,11.88,97.24,2.52,32.32,1560.0,0.038
29.0,81.8,2024-05-01,1,14.57,29.2,2.63,0.0,3322.0,1.174
27.2,87.3,2017-07-12,0,22.94,82.07,2.08,2.1,779.0,0.502
28.2,84.7,2020-12-25,1,8.73,38.46,1.28,3.03,1776.0,0.694
28.8,82.0,2021-04-09,1,13.46,25.47,1.98,0.0,1641.0,1.15
28.0,81.9,2024-04-17,1,29.62,26.09,3.04,0.0,169.0,3.068
28.0,84.6,2021-04-12,1,22.62,15.69,1.92,0.0,1015.0,2.315
28.5,86.4,2016-04-22,0,-3.45,60.85,5.96,0.1,5608.0,0.185
28.1,81.9,2024-04-20,1,32.24,18.28,3.53,0.0,229.0,3.939
27.5,84.4,2023-04-11,1,27.55,27.01,1.47,0.0,416.0,2.688
27.3,84.8,2021-03-27,1,24.05,21.67,1.62,0.0,230.0,2.344
28.6,85.2,2013-10-03,0,5.74,91.61,2.04,4.94,4809.0,0.077
28.6,81.3,2021-04-13,1,30.55,17.74,2.49,0.0,243.0,3.602
29.0,80.7,2018-04-19,0,27.43,32.07,1.78,0.01,1097.0,2.484
27.3,85.4,2017-04-13,1,21.94,31.68,1.75,0.0,361.0,1.8
28.5,80.9,2012-01-23,0,13.59,48.05,1.44,0.0,151.0,0.809
28.0,82.2,2016-04-08,1,26.99,24.74,2.64,0.0,344.0,2.682
26.8,84.2,2021-09-09,0,27.75,89.71,2.15,0.36,80.0,0.383
28.0,82.6,2021-04-27,1,28.44,20.5,2.42,0.0,1169.0,3.083
28.3,82.3,2023-06-05,1,20.89,48.13,1.77,0.95,1429.0,1.281
26.9,86.7,2021-04-10,1,25.39,18.34,3.23,0.06,1018.0,2.648
29.4,82.1,2016-04-19,1,13.04,49.35,1.69,0.03,3540.0,0.761
28.0,82.9,2014-05-24,1,27.55,32.61,1.84,3.88,1085.0,2.481
29.3,81.8,2020-03-08,0,1.24,66.2,1.47,0.04,2520.0,0.226
28.4,81.7,2017-06-30,0,26.71,71.82,1.98,0.56,1133.0,0.988
26.9,87.5,2024-03-07,1,17.29,30.02,1.73,0.0,1232.0,1.381
28.8,82.7,2016-12-13,1,5.08,25.54,1.06,0.0,2894.0,0.653
28.0,86.9,2012-10-03,0,1.91,77.67,2.09,0.13,6824.0,0.157
27.4,82.9,2015-08-30,0,28.35,87.07,2.05,11.62,92.0,0.499
28.6,83.1,2018-05-11,0,13.16,47.23,2.02,0.0,4383.0,0.799
27.5,89.4,2020-06-06,0,11.1,84.66,1.42,5.53,3116.0,0.203
29.6,82.4,2012-01-11,0,-22.2,89.56,1.82,0.03,2687.0,0.011
29.9,86.0,2015-05-21,0,-0.3,53.04,3.39,0.57,5269.0,0.281
29.7,84.3,2019-12-25,0,-21.72,62.25,2.06,0.0,4824.0,0.04
28.5,80.9,2022-04-15,1,29.89,28.07,2.11,0.4,151.0,3.033
29.0,80.8,2014-05-20,1,30.18,19.51,1.78,0.0,1480.0,3.451
27.6,84.8,2013-07-13,0,25.22,85.48,1.18,0.24,883.0,0.466
29.3,80.8,2016-04-25,1,20.54,16.58,2.01,0.0,610.0,2.017
27.0,89.2,2022-04-01,0,15.98,87.15,0.59,16.22,1108.0,0.233
27.3,85.7,2019-03-24,1,19.82,28.66,1.72,0.0,836.0,1.65
27.5,83.1,2020-08-21,0,26.78,88.17,3.9,6.3,101.0,0.416
26.4,85.5,2016-05-25,0,32.78,42.84,3.21,3.13,63.0,2.84
28.1,84.9,2021-03-21,1,15.03,40.65,1.72,0.0,2519.0,1.014
29.2,86.8,2012-06-13,0,8.34,45.47,2.74,0.0,4394.0,0.599
27.9,82.9,2021-12-17,0,12.45,49.96,1.53,0.0,365.0,0.723
26.6,80.4,2024-08-13,0,28.14,86.58,2.44,6.56,119.0,0.511
27.5,80.9,2013-03-22,0,25.75,34.2,3.42,0.0,138.0,2.179
28.6,82.2,2022-11-14,0,10.65,65.8,1.25,0.0,991.0,0.439
29.1,81.1,2020-06-25,0,23.77,87.56,1.52,34.24,416.0,0.366
30.2,85.8,2017-03-15,0,-16.93,73.39,3.56,0.0,5040.0,0.043
26.8,89.5,2020-04-11,0,15.27,64.98,0.63,1.55,521.0,0.608
29.1,81.2,2014-05-10,1,27.48,22.76,1.63,0.0,1412.0,2.832
27.1,86.5,2024-05-04,1,27.65,17.68,1.9,0.02,706.0,3.049
27.3,88.8,2018-08-13,0,12.98,94.18,1.8,13.86,3717.0,0.087
28.8,85.4,2017-03-16,0,-11.92,75.48,2.29,0.0,5380.0,0.06
27.2,85.6,2019-03-23,1,24.92,26.43,2.72,0.0,256.0,2.319
28.4,81.0,2025-05-03,1,29.17,39.49,1.38,0.06,142.0,2.448
29.1,82.0,2018-01-22,1,7.46,37.02,1.22,0.0,3926.0,0.651
29.7,88.1,2021-01-03,0,-6.87,41.0,3.34,0.0,4855.0,0.215
27.2,85.1,2020-04-10,1,28.1,31.99,1.75,0.0,188.0,2.586
27.9,80.7,2014-04-16,0,30.39,27.77,3.15,0.16,149.0,3.134
